StichtagDatJahr,DatenstandCd,HalterId,AlterV10Cd,AlterV10Lang,AlterV10Sort,SexCd,SexLang,SexSort,KreisCd,KreisLang,KreisSort,QuarCd,QuarLang,QuarSort,Rasse1Text,Rasse2Text,RasseMischlingCd,RasseMischlingLang,RasseMischlingSort,RassentypCd,RassentypLang,RassentypSort,GebDatHundJahr,AlterVHundCd,AlterVHundLang,AlterVHundSort,SexHundCd,SexHundLang,SexHundSort,HundefarbeText,AnzHunde
2023,P,18462,60,60- bis 69-Jährige,7,1,männlich,1,6,Kreis 6,6,63,Oberstrass,63,Border Collie,Keine,1,Rassehund,1,I,Rassentypenliste I,2,2015,7,7-Jährige,7,1,männlich,1,tricolor,1
2023,P,18898,40,40- bis 49-Jährige,5,1,männlich,1,2,Kreis 2,2,23,Leimbach,23,Siberian Husky,Keine,1,Rassehund,1,I,Rassentypenliste I,2,2022,0,0-Jährige,0,1,männlich,1,creme,1
2023,P,19004,50,50- bis 59-Jährige,6,1,männlich,1,5,Kreis 5,5,52,Escher Wyss,52,Malteser,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2014,8,8-Jährige,8,1,männlich,1,weiss,1
2023,P,19105,40,40- bis 49-Jährige,5,1,männlich,1,3,Kreis 3,3,33,Friesenberg,33,Appenzeller Sennenhund,Labrador Retriever,2,"Mischling, beide Rassen bekannt",2,I,Rassentypenliste I,2,2020,2,2-Jährige,2,2,weiblich,2,schwarz,1
2023,P,19900,50,50- bis 59-Jährige,6,2,weiblich,2,5,Kreis 5,5,51,Gewerbeschule,51,Deutscher Kleinspitz,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2015,7,7-Jährige,7,1,männlich,1,braun/schwarz,1
2023,P,20949,70,70- bis 79-Jährige,8,1,männlich,1,11,Kreis 11,11,111,Affoltern,111,Shiba Inu,Unbekannt,3,"Mischling, sekundäre Rasse unbekannt",3,K,Kleinwüchsig,1,2014,8,8-Jährige,8,2,weiblich,2,beige,1
2023,P,21002,70,70- bis 79-Jährige,8,1,männlich,1,7,Kreis 7,7,71,Fluntern,71,Unbekannt,Unbekannt,4,"Mischling, beide Rassen unbekannt",4,I,Rassentypenliste I,2,2011,11,11-Jährige,11,1,männlich,1,creme,1
2023,P,21216,60,60- bis 69-Jährige,7,2,weiblich,2,9,Kreis 9,9,91,Albisrieden,91,Kromfohrländer,Unbekannt,3,"Mischling, sekundäre Rasse unbekannt",3,I,Rassentypenliste I,2,2022,0,0-Jährige,0,2,weiblich,2,weiss/braun,1
2023,P,21248,40,40- bis 49-Jährige,5,1,männlich,1,3,Kreis 3,3,34,Sihlfeld,34,Kleiner Münsterländer,Keine,1,Rassehund,1,I,Rassentypenliste I,2,2019,3,3-Jährige,3,2,weiblich,2,braun/weiss,1
2023,P,21681,50,50- bis 59-Jährige,6,2,weiblich,2,2,Kreis 2,2,21,Wollishofen,21,Rhodesian Ridgeback,Keine,1,Rassehund,1,I,Rassentypenliste I,2,2021,1,1-Jährige,1,2,weiblich,2,weizen,1
2023,P,21853,50,50- bis 59-Jährige,6,2,weiblich,2,3,Kreis 3,3,31,Alt-Wiedikon,31,Deutscher Schäfer,Keine,1,Rassehund,1,I,Rassentypenliste I,2,2015,7,7-Jährige,7,1,männlich,1,schwarz,1
2023,P,21865,70,70- bis 79-Jährige,8,1,männlich,1,6,Kreis 6,6,61,Unterstrass,61,Foxterrier,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2017,5,5-Jährige,5,1,männlich,1,schwarz/weiss,1
2023,P,22186,50,50- bis 59-Jährige,6,1,männlich,1,8,Kreis 8,8,82,Mühlebach,82,Labrador Retriever,Border Collie,2,"Mischling, beide Rassen bekannt",2,I,Rassentypenliste I,2,2009,13,13-Jährige,13,1,männlich,1,schwarz,1
2023,P,22378,50,50- bis 59-Jährige,6,1,männlich,1,7,Kreis 7,7,72,Hottingen,72,Kooikerhondje,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2010,12,12-Jährige,12,2,weiblich,2,weiss/orange,1
2023,P,22491,60,60- bis 69-Jährige,7,2,weiblich,2,11,Kreis 11,11,111,Affoltern,111,Unbekannt,Unbekannt,4,"Mischling, beide Rassen unbekannt",4,K,Kleinwüchsig,1,2013,9,9-Jährige,9,1,männlich,1,orange,1
2023,P,22750,60,60- bis 69-Jährige,7,1,männlich,1,2,Kreis 2,2,21,Wollishofen,21,Jack Russel Terrier,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2013,9,9-Jährige,9,2,weiblich,2,weiss/braun,1
2023,P,22776,50,50- bis 59-Jährige,6,1,männlich,1,11,Kreis 11,11,119,Seebach,119,Berner Sennenhund,Keine,1,Rassehund,1,I,Rassentypenliste I,2,2014,8,8-Jährige,8,1,männlich,1,tricolor,1
2023,P,22950,60,60- bis 69-Jährige,7,2,weiblich,2,11,Kreis 11,11,119,Seebach,119,Mittelpudel,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2013,9,9-Jährige,9,2,weiblich,2,schwarz,1
2023,P,23054,70,70- bis 79-Jährige,8,2,weiblich,2,10,Kreis 10,10,101,Höngg,101,Cairn Terrier,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2011,11,11-Jährige,11,1,männlich,1,rot/beige,1
2023,P,23104,50,50- bis 59-Jährige,6,1,männlich,1,7,Kreis 7,7,73,Hirslanden,73,Golden Retriever,Keine,1,Rassehund,1,I,Rassentypenliste I,2,2022,0,0-Jährige,0,2,weiblich,2,gelb,1
2023,P,23408,40,40- bis 49-Jährige,5,1,männlich,1,12,Kreis 12,12,122,Schwamendingen-Mitte,122,Yorkshire Terrier,Keine,1,Rassehund,1,K,Kleinwüchsig,1,2011,11,11-Jährige,11,2,weiblich,2,black/tan,1
2023,P,23493,70,70- bis 79-Jährige,8,1,männlich,1,11,Kreis 11,11,111,Affoltern,111,Boxer,Keine,1,Rassehund,1,I,Rassentypenliste I,2,2013,9,9-Jährige,9,1,männlich,1,braun/weiss,1
2023,P,23590,60,60- bis 69-Jährige,7,2,weiblich,2,9,Kreis 9,9,92,Altstetten,92,Affenpinscher,Unbekannt,3,"Mischling, sekundäre Rasse unbekannt",3,K,Kleinwüchsig,1,2012,10,10-Jährige,10,2,weiblich,2,schwarz,1
